variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
B,all_active,current,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,all_active,current,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
B,all_active,current,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,all_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
B,all_active,current,LOW_END_STARTER,63,0.099369,9.9%,28.444,30.014,57.342,59.17,58.957,16.855,5.019,1.916,1.597
B,all_active,current,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
B,all_active,current,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
B,all_active,current,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
B,all_active,current,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
B,all_active,current,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
B,all_active,current,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
B,all_active,B,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,all_active,B,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
B,all_active,B,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,all_active,B,SOLID_STARTER,17,0.026814,2.7%,29.647,32.669,58.727,62.413,61.877,19.406,7.636,3.378,3.974
B,all_active,B,LOW_END_STARTER,46,0.072555,7.3%,28,29.032,56.83,57.971,57.877,15.912,4.052,1.376,0.718
B,all_active,B,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
B,all_active,B,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
B,all_active,B,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
B,all_active,B,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
B,all_active,B,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
B,all_active,B,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
B,rostered_active,current,SUPERSTAR_MAX,3,0.006522,0.7%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
B,rostered_active,current,STAR_NEAR_MAX,17,0.036957,3.7%,25.647,36.013,68.585,68.241,68.324,24.132,12.963,5.991,7.66
B,rostered_active,current,YOUNG_PROVEN_STARTER,24,0.052174,5.2%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
B,rostered_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
B,rostered_active,current,LOW_END_STARTER,58,0.126087,12.6%,28.552,29.953,57.208,59.047,58.834,16.784,4.954,1.856,1.487
B,rostered_active,current,SPECIALIST_ROTATION,7,0.015217,1.5%,26.857,19.996,54.003,54.209,54.219,13.269,1.845,0.554,-1.143
B,rostered_active,current,YOUNG_UPSIDE_SUSPECT,26,0.056522,5.7%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
B,rostered_active,current,VETERAN_ROTATION_GUARD,13,0.028261,2.8%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
B,rostered_active,current,LOW_ROTATION_PLUS,9,0.019565,2.0%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
