variant,pool,model,tier,count,percentage,percentageText,avgAge,avgMPG,avgValue,avgValueNoPot,avgGetContractValue,avgPER,avgEWA,avgVORP,avgBPM
B,top15_roster_proxy,B,YOUNG_UPSIDE_SUSPECT,25,0.058005,5.8%,21.8,18.937,60.162,53.598,55.3,13.338,1.475,0.226,-1.546
B,top15_roster_proxy,B,VETERAN_ROTATION_GUARD,13,0.030162,3.0%,30.769,25.225,52.718,56.523,56.017,17.243,3.694,1.938,3.354
B,top15_roster_proxy,B,LOW_ROTATION_PLUS,9,0.020882,2.1%,25.111,10.926,53.76,52.755,53.03,14.645,1.089,0.213,-0.854
B,top15_roster_proxy,B,VETERAN_MINIMUM_PLUS,5,0.011601,1.2%,32,22.405,52.278,56.688,56.159,15.69,2.578,0.555,-0.476
B,top15_roster_proxy,B,MINIMUM_LEVEL,270,0.62645,62.6%,26.548,13.815,50.096,49.515,49.832,10.522,0.349,-0.163,-3.772
B,contract_relevant,current,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
B,contract_relevant,current,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
B,contract_relevant,current,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
B,contract_relevant,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
B,contract_relevant,current,LOW_END_STARTER,18,0.055901,5.6%,29.889,30.085,56.672,59.525,59.167,17.077,5.089,2.108,2.072
B,contract_relevant,current,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
B,contract_relevant,current,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
B,contract_relevant,current,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
B,contract_relevant,current,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
B,contract_relevant,current,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
B,contract_relevant,current,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
B,contract_relevant,B,SUPERSTAR_MAX,0,0,0.0%,,,,,,,,,
B,contract_relevant,B,STAR_NEAR_MAX,5,0.015528,1.6%,27,34.581,65.824,67.467,67.266,24.118,12.018,5.52,7.556
B,contract_relevant,B,YOUNG_PROVEN_STARTER,7,0.021739,2.2%,23.429,32.944,65.625,62.331,62.99,19.762,8.305,2.577,2.339
B,contract_relevant,B,SOLID_STARTER,5,0.015528,1.6%,30,33.589,59.412,63.618,63.063,20.17,8.55,3.919,4.87
B,contract_relevant,B,LOW_END_STARTER,13,0.040373,4.0%,29.846,28.738,55.618,57.951,57.668,15.887,3.758,1.411,0.996
B,contract_relevant,B,SPECIALIST_ROTATION,6,0.018634,1.9%,26.333,18.895,53.293,53.531,53.483,13.33,1.384,0.336,-1.015
B,contract_relevant,B,YOUNG_UPSIDE_SUSPECT,5,0.015528,1.6%,22,21.526,61.563,55.476,56.979,15.168,2.638,0.713,-0.373
B,contract_relevant,B,VETERAN_ROTATION_GUARD,5,0.015528,1.6%,30.6,24.544,53.959,57.846,57.338,18.531,3.553,1.98,4.79
B,contract_relevant,B,LOW_ROTATION_PLUS,3,0.009317,0.9%,24,7.72,53.064,50.84,51.436,16.543,1.312,0.327,0.251
B,contract_relevant,B,VETERAN_MINIMUM_PLUS,3,0.009317,0.9%,31,20.678,52.202,56.317,55.824,15.991,2.997,0.824,0.184
B,contract_relevant,B,MINIMUM_LEVEL,270,0.838509,83.9%,26.637,8.076,43.837,42.645,43.157,7.452,-0.059,-0.148,-4.969
C,all_active,current,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,all_active,current,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
C,all_active,current,YOUNG_PROVEN_STARTER,24,0.037855,3.8%,23.875,32.468,64.884,62.221,62.754,19.368,7.671,2.813,3.047
C,all_active,current,SOLID_STARTER,0,0,0.0%,,,,,,,,,
C,all_active,current,LOW_END_STARTER,63,0.099369,9.9%,28.444,30.014,57.342,59.17,58.957,16.855,5.019,1.916,1.597
C,all_active,current,SPECIALIST_ROTATION,9,0.014196,1.4%,27,19.12,53.219,53.815,53.736,13.711,1.864,0.608,-0.704
C,all_active,current,YOUNG_UPSIDE_SUSPECT,26,0.041009,4.1%,21.769,18.393,60.044,53.266,55.032,13.478,1.434,0.219,-1.501
C,all_active,current,VETERAN_ROTATION_GUARD,14,0.022082,2.2%,30.643,25.325,52.529,56.291,55.794,17.041,3.6,1.859,3.105
C,all_active,current,LOW_ROTATION_PLUS,10,0.015773,1.6%,25.1,10.615,53.6,52.594,52.862,14.659,1.081,0.248,-0.614
C,all_active,current,VETERAN_MINIMUM_PLUS,6,0.009464,0.9%,32.167,20.423,51.537,55.905,55.381,15.305,2.305,0.505,-0.532
C,all_active,current,MINIMUM_LEVEL,460,0.725552,72.6%,26.222,10.697,46.806,45.442,45.967,8.808,0.159,-0.143,-4.448
C,all_active,C,SUPERSTAR_MAX,3,0.004732,0.5%,23.667,36.851,74.13,72.402,72.727,29.876,19.755,9.574,12.442
C,all_active,C,STAR_NEAR_MAX,19,0.029968,3.0%,25.737,35.837,68.416,68.255,68.317,24.252,12.848,5.901,7.672
