variant,section,lane,pool,currentTier,candidateTier,signalOrCombination,count,percentage,notes
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: VORP >= 1.5; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,1,5.9%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support,1,5.9%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: VORP >= 1.5; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,1,5.9%,
B,signal_combination,SOLID_STARTER,,,,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support; extra: age <= 27 with value/pot support,1,5.9%,
B,bpm_bucket,SOLID_STARTER,,,,BPM >= 1,16,94.1%,
B,bpm_bucket,SOLID_STARTER,,,,0 <= BPM < 1,1,5.9%,
B,production_bucket,SOLID_STARTER,,,,elite extra production,17,100.0%,
B,role_bucket,SOLID_STARTER,,,,very strong starter role,17,100.0%,
B,labeled_solid_attribution_summary,SOLID_STARTER,,,,,4,,improved 3; worsened 1; fixed severe 2; new severe 0; too_low fixed 1; too_high added 1
B,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: VORP >= 1; extra: BPM >= 1.5; extra: VORP >= 1.5; extra: defense/rebounding/connector support; extra: shooting/spacing support,1,,boundary40 G-03; bucket solid_starter; human $12.00M-$18.00M; current point 16.03; candidate point 24.17; too_high
B,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: BPM >= 1.5; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support,1,,boundary40 H-02; bucket good_high_starter; human $30.00M-$35.00M; current point 17.03; candidate point 24.99; too_low
B,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.65; role: GS >= 50; role: MPG >= 31; value core: valueNoPot >= 60 and contractValue >= 60; production: BPM >= 1; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: EWA >= 6; extra: VORP >= 1.5; extra: PER >= 17; extra: defense/rebounding/connector support,1,,validation20 V20-09; bucket low_end_starter_good_rotation; human $22.00M-$27.00M; current point 15.65; candidate point 23.87; inside
B,labeled_solid_case,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,role: starterShare >= 0.65; role: GS >= 50; value core: valueNoPot >= 60 and contractValue >= 60; production: EWA >= 5; production: VORP >= 1; production: PER >= 16; extra: EWA >= 6; extra: PER >= 17; extra: defense/rebounding/connector support,1,,validation20 V20-11; bucket low_end_starter_good_rotation; human $24.00M-$28.00M; current point 15.4; candidate point 23.66; too_low
C,hard_floor,SOLID_STARTER,,,,,10,1.6%,passes current LOW_END_STARTER eligibility + GP/MPG/value hard floor
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,valueNoPot < 61,576,90.9%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,contractValue < 61,575,90.7%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,MPG < 30,555,87.5%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,production core count < 3,540,85.2%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,BPM < 0 without exception path,474,74.8%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing role core,473,74.6%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier MINIMUM_LEVEL blocked,460,72.6%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,missing extra support,438,69.1%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,GP < 60,294,46.4%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_UPSIDE_SUSPECT blocked,26,4.1%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier YOUNG_PROVEN_STARTER blocked,24,3.8%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier STAR_NEAR_MAX blocked,19,3.0%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_ROTATION_GUARD blocked,14,2.2%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier LOW_ROTATION_PLUS blocked,10,1.6%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SPECIALIST_ROTATION blocked,9,1.4%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier VETERAN_MINIMUM_PLUS blocked,6,0.9%,
C,hard_veto_or_group_fail_reason,SOLID_STARTER,,,,current tier SUPERSTAR_MAX blocked,3,0.5%,
C,entrants_by_pool,SOLID_STARTER,all_active,,,,10,1.6%,
C,entrants_by_pool,SOLID_STARTER,rostered_active,,,,8,1.7%,
C,entrants_by_pool,SOLID_STARTER,top15_roster_proxy,,,,8,1.9%,
C,entrants_by_pool,SOLID_STARTER,contract_relevant,,,,4,1.2%,
C,focus_transition_count,SOLID_STARTER,,LOW_END_STARTER,SOLID_STARTER,,10,15.9%,10 of 63 current LOW_END_STARTER
C,focus_transition_count,SOLID_STARTER,,MINIMUM_LEVEL,SOLID_STARTER,,0,0.0%,0 of 460 current MINIMUM_LEVEL
C,focus_transition_count,SOLID_STARTER,,LOW_ROTATION_PLUS,SOLID_STARTER,,0,0.0%,0 of 10 current LOW_ROTATION_PLUS
C,focus_transition_count,SOLID_STARTER,,YOUNG_UPSIDE_SUSPECT,SOLID_STARTER,,0,0.0%,0 of 26 current YOUNG_UPSIDE_SUSPECT
C,focus_transition_count,SOLID_STARTER,,VETERAN_ROTATION_GUARD,SOLID_STARTER,,0,0.0%,0 of 14 current VETERAN_ROTATION_GUARD
C,focus_transition_count,SOLID_STARTER,,YOUNG_PROVEN_STARTER,SOLID_STARTER,,0,0.0%,0 of 24 current YOUNG_PROVEN_STARTER
C,entrant_signal_pass_count,SOLID_STARTER,,,,role: starterShare >= 0.7,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,role: GS >= 55,10,100.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,role: MPG >= 32,7,70.0%,
C,entrant_signal_pass_count,SOLID_STARTER,,,,value core: valueNoPot >= 61 and contractValue >= 61,10,100.0%,
