variant,pool,model,tier,count,tierMinCapPct,tierMidpointCapPct,tierMaxCapPct,totalImpliedMinCapPct,totalImpliedMidpointCapPct,totalImpliedMaxCapPct,impliedMidpointCapPctPer30Teams,deltaTotalMidpointCapPctVsCurrent
C,rostered_active,C,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
C,rostered_active,C,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,rostered_active,C,SOLID_STARTER,8,12,14.5,17,96,116.001,136.003,3.867,116.001
C,rostered_active,C,LOW_END_STARTER,50,6,9,12,300,450,600,15,-72
C,rostered_active,C,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
C,rostered_active,C,YOUNG_UPSIDE_SUSPECT,26,2.5,3.5,4.5,64.996,90.996,116.996,3.033,0
C,rostered_active,C,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
C,rostered_active,C,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
C,rostered_active,C,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
C,rostered_active,C,MINIMUM_LEVEL,298,1.804,1.94,2.075,537.659,578.008,618.356,19.267,0
C,rostered_active,C,__TOTAL__,460,4.432,5.218,6.004,2038.543,2400.199,2761.855,80.007,44.001
C,top15_roster_proxy,current,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
C,top15_roster_proxy,current,STAR_NEAR_MAX,17,25.624,27.371,29.118,435.604,465.302,495.001,15.51,0
C,top15_roster_proxy,current,YOUNG_PROVEN_STARTER,24,17,19.75,22.5,408.008,474.002,539.996,15.8,0
C,top15_roster_proxy,current,LOW_END_STARTER,58,6,9,12,348,522,696,17.4,0
C,top15_roster_proxy,current,SPECIALIST_ROTATION,7,3.5,4.5,5.5,24.501,31.501,38.501,1.05,0
C,top15_roster_proxy,current,YOUNG_UPSIDE_SUSPECT,25,2.5,3.5,4.5,62.496,87.496,112.496,2.917,0
C,top15_roster_proxy,current,VETERAN_ROTATION_GUARD,13,4,5,6,52,65,78,2.167,0
C,top15_roster_proxy,current,LOW_ROTATION_PLUS,9,2,2.75,3.5,18,24.751,31.501,0.825,0
C,top15_roster_proxy,current,VETERAN_MINIMUM_PLUS,5,2.355,2.928,3.5,11.775,14.638,17.501,0.488,0
C,top15_roster_proxy,current,MINIMUM_LEVEL,270,1.839,1.977,2.115,496.618,533.885,571.151,17.796,0
C,top15_roster_proxy,current,__TOTAL__,431,4.517,5.356,6.195,1947.002,2308.575,2670.147,76.952,0
C,top15_roster_proxy,C,SUPERSTAR_MAX,3,30,30,30,90,90,90,3,0
